broker,payload_bytes,target_rate,sent,received,send_errors,recv_errors,sent_mps,recv_mps,lost,avg_latency_ms,p95_latency_ms,max_latency_ms
rabbit,128,1000,645,0,0,0,64.5,0.0,645,0,0,0
rabbit,128,5000,666,0,0,0,66.6,0.0,666,0,0,0
rabbit,128,10000,668,0,0,0,66.8,0.0,668,0,0,0
rabbit,1024,1000,671,0,0,0,67.1,0.0,671,0,0,0
rabbit,1024,5000,672,0,0,0,67.2,0.0,672,0,0,0
rabbit,1024,10000,646,0,0,0,64.6,0.0,646,0,0,0
rabbit,10240,1000,671,0,0,0,67.1,0.0,671,0,0,0
rabbit,10240,5000,685,0,0,0,68.5,0.0,685,0,0,0
rabbit,10240,10000,673,0,0,0,67.3,0.0,673,0,0,0
rabbit,102400,1000,666,0,0,0,66.6,0.0,666,0,0,0
rabbit,102400,5000,676,0,0,0,67.6,0.0,676,0,0,0
rabbit,102400,10000,665,0,0,0,66.5,0.0,665,0,0,0
redis,128,1000,659,0,0,0,65.9,0.0,659,0,0,0
redis,128,5000,659,0,0,0,65.9,0.0,659,0,0,0
redis,128,10000,665,0,0,0,66.5,0.0,665,0,0,0
redis,1024,1000,663,0,0,0,66.3,0.0,663,0,0,0
redis,1024,5000,672,0,0,0,67.2,0.0,672,0,0,0
redis,1024,10000,671,0,0,0,67.1,0.0,671,0,0,0
redis,10240,1000,666,0,0,0,66.6,0.0,666,0,0,0
redis,10240,5000,666,0,0,0,66.6,0.0,666,0,0,0
redis,10240,10000,674,0,0,0,67.4,0.0,674,0,0,0
redis,102400,1000,673,0,0,0,67.3,0.0,673,0,0,0
redis,102400,5000,659,0,0,0,65.9,0.0,659,0,0,0
redis,102400,10000,670,0,0,0,67.0,0.0,670,0,0,0
